City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
104515,Makkah al Mukarramah,SA,21.43,39.83,77.95,37,0,1.68,1603042347
3016824,Gaillac,FR,43.9,1.9,60.8,58,18,2.24,1603042347
1024552,Xai-Xai,MZ,-25.05,33.64,78.3,57,0,13.47,1603042347
935214,Saint-Pierre,RE,-21.34,55.48,73.4,73,3,8.05,1603042347
5546220,Saint George,US,37.1,-113.58,64.4,17,1,0.87,1603042129
3435038,Dolores,AR,-36.31,-57.68,86.61,55,20,7.0,1603042347
1855612,Nara,JP,34.69,135.8,55.99,85,29,1.66,1603042347
368246,Raja,SS,8.46,25.68,74.57,80,13,3.49,1603042347
4031742,Egvekinot,RU,66.32,-179.17,23.94,88,94,6.08,1603042347
2269142,Colares,PT,38.8,-9.45,66.99,52,18,8.05,1603042348
3691954,Sechura,PE,-5.56,-80.82,77.4,53,16,15.99,1603042348
527529,Menzelinsk,RU,55.73,53.1,48.2,45,75,17.9,1603042348
6355222,Yulara,AU,-25.24,130.99,68.0,88,90,14.99,1603042348
2121025,Srednekolymsk,RU,67.45,153.68,22.48,98,90,4.09,1603042141
1621655,Weleri,ID,-6.97,110.07,64.99,73,98,3.38,1603042348
3386213,Touros,BR,-5.2,-35.46,84.2,66,40,10.29,1603042069
2012530,Zhigansk,RU,66.77,123.37,11.23,95,85,4.36,1603042080
5364271,Laguna,US,38.42,-121.42,75.2,33,1,3.36,1603042348
5710360,Winnemucca,US,40.97,-117.74,60.8,29,1,3.36,1603042276
2633274,Akureyri,IS,65.68,-18.09,41.0,93,90,17.22,1603042349
2126710,Beringovskiy,RU,63.05,179.32,34.38,85,69,5.79,1603042114
1511997,Aktash,RU,50.3,87.73,23.0,93,86,4.9,1603042349
527321,Mezen',RU,65.85,44.24,33.64,96,95,7.63,1603042349
5354943,Half Moon Bay,US,37.46,-122.43,77.0,72,1,8.05,1603042349
1819729,Hong Kong,HK,22.29,114.16,75.0,80,72,1.01,1603042070
2753354,Gemeente IJsselstein,NL,52.02,5.03,52.0,88,79,4.41,1603042349
5746545,Portland,US,45.52,-122.68,60.01,62,90,4.7,1603042068
4983905,Albion,US,42.24,-84.75,55.99,50,90,9.17,1603042349
3416888,Grindavik,IS,63.84,-22.43,42.8,87,40,25.28,1603042350
2146219,Hervey Bay,AU,-25.3,152.85,66.99,82,50,4.7,1603042350
1162959,Umarkot,PK,25.36,69.74,89.22,55,56,6.8,1603042350
3995671,Mochicahui,MX,25.93,-108.93,91.99,59,5,3.27,1603042350
3374210,São Filipe,CV,14.9,-24.5,80.98,79,54,6.24,1603042350
2023226,Kamen'-Rybolov,RU,44.75,132.04,38.52,71,1,4.54,1603042350
3372964,Lagoa,PT,39.05,-27.98,62.96,62,67,16.42,1603042350
3981391,Tomatlán,MX,19.93,-105.25,90.75,57,70,3.69,1603042350
4315067,Ascension,US,30.22,-90.9,82.0,61,75,3.36,1603042350
2119283,Zyryanka,RU,65.75,150.85,19.35,92,79,2.26,1603042350
8079926,Labuhan,ID,-6.88,112.21,79.29,79,55,7.45,1603042351
4111410,Fort Smith,US,35.39,-94.4,72.0,68,75,8.05,1603042086
3361934,Saldanha,ZA,-33.01,17.94,64.4,59,38,16.11,1603042351
2064735,Nhulunbuy,AU,-12.23,136.77,73.4,88,69,4.81,1603042351
1503153,Klyuchi,RU,52.27,79.17,36.05,76,0,9.1,1603042351
3936456,Lima,PE,-12.04,-77.03,66.2,68,90,4.7,1603042157
261814,Koutsouras,GR,35.03,25.95,75.99,74,100,5.01,1603042351
6201197,Muhafazat Lahij,YE,13.17,44.58,80.44,53,0,4.41,1603042351
476297,Vazhiny,RU,60.96,34.02,34.72,89,100,4.88,1603042351
3471451,Arraial do Cabo,BR,-22.97,-42.03,77.0,69,40,18.34,1603042351
5870133,Nome,US,64.5,-165.41,39.2,86,90,10.29,1603042352
1251081,Anuradhapura,LK,8.36,80.42,76.44,87,100,9.17,1603042352
3355672,Lüderitz,NA,-26.65,15.16,70.0,42,0,24.29,1603042071
2122090,Pevek,RU,69.7,170.31,23.54,94,30,16.64,1603042352
964420,Port Elizabeth,ZA,-33.92,25.57,60.8,82,28,11.41,1603042105
124291,Mehrān,IR,33.12,46.16,60.8,23,0,8.46,1603042352
893549,Chipinge,ZW,-20.19,32.62,66.88,60,3,6.31,1603042352
1795632,Shenjiamen,CN,29.96,122.3,65.59,63,87,10.8,1603042352
3456642,Mozarlândia,BR,-14.74,-50.57,98.08,25,47,5.93,1603042352
962367,Richards Bay,ZA,-28.78,32.04,73.17,81,29,13.53,1603042352
3146487,Raudeberg,NO,61.99,5.14,41.0,75,95,5.82,1603042353
933995,Souillac,MU,-20.52,57.52,75.2,69,40,8.05,1603042353
3461370,Imbituba,BR,-28.24,-48.67,77.0,57,40,16.11,1603042353
2324774,Port Harcourt,NG,4.78,7.01,87.8,62,75,5.82,1603042353
3664956,Boca do Acre,BR,-8.75,-67.4,96.91,34,53,2.82,1603042353
2264557,Ponta do Sol,PT,32.67,-17.1,73.4,83,75,21.92,1603042353
3466165,Cidreira,BR,-30.18,-50.21,71.8,70,95,17.45,1603042072
2018553,Ol'ga,RU,43.74,135.29,40.01,72,5,6.26,1603042353
2182010,Tairua,NZ,-37.02,175.85,55.99,84,46,4.56,1603042353
2013279,Vostok,RU,46.49,135.88,22.84,93,1,3.62,1603042354
1650434,Bambanglipuro,ID,-7.95,110.28,77.09,85,98,8.25,1603042276
5554428,Ketchikan,US,55.34,-131.65,44.6,80,75,3.33,1603042328
3527795,Escárcega,MX,18.61,-90.75,93.18,43,28,1.88,1603042354
232490,Lukaya,UG,-0.15,31.87,69.8,88,20,4.7,1603042354
5887916,Athabasca,CA,54.72,-113.29,22.64,79,0,4.72,1603042354
5859699,College,US,64.86,-147.8,15.01,78,75,4.7,1603042080
515879,Oktyabr'skiy,RU,54.48,53.47,49.1,50,100,16.98,1603042354
1242110,Kalmunai,LK,7.42,81.82,80.35,81,99,2.86,1603042285
